id,edition,school_year,name,school,stage,subject,stage_norm,subject_cat,sector,verification_source,audit_note
40,3,2016/2017,黃綺珊,勞校中學,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊特寫: 感恩選擇了當一位幼教教師,更正前誤植為數學。特刊確認為幼稚園幼師。
41,3,2016/2017,黃耀明,鏡平學校,中學,體育,中學,體育,私立,官方特刊/公報審核,經官方特刊比對確認
42,3,2016/2017,雷小紅,濠江中學,中學,中學英語,中學,英語,私立,官方特刊特寫: 小時候我就想成為一位英語教師,更正前誤植為生物。特刊確認為英語教師。
43,3,2016/2017,鄭慧蘭,廣大中學,中學,中學視覺藝術,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 作為一位藝術教師，我希望透過視藝教育,更正前誤植為中文。特刊確認為視覺藝術教師。
44,3,2016/2017,黎潔誼,商訓夜中學,中學(夜間),中文,回歸教育,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
45,3,2016/2017,鄺偉基,培華中學,中學,中學數學 / 科普及節能,中學,數學,私立,官方特刊特寫: 我曾試將枯燥的數學生活化,更正前誤植為體育。特刊確認為中學數學及科普指導。
46,4,2017/2018,何沛佳,粵華中學,中學,中學數學,中學,數學,私立,官方特刊特寫: 本人在中學任教數學已經二十年了,更正前誤植為化學。特刊確認為中學數學教師。
47,4,2017/2018,何詠詩,澳門浸信中學,中學,英文,中學,英語,私立,官方特刊/公報審核,經官方特刊比對確認
48,4,2017/2018,張嘉俊,培正中學,中學,中學體育 / 排球教練,中學,體育,私立,官方特刊特寫: 體育科的一班同事...排球長城主教練,更正前誤植為資訊科技。特刊確認為體育科及排球隊教練。
49,4,2017/2018,梁亦星,勞校中學,中學,中學物理 / 科技創新與科普,中學,物理,私立,官方特刊特寫: 中學物理、青少年發明與科普研發,更正前誤植為歷史。特刊確認為中學物理及科普科技創新。
50,4,2017/2018,梁志恆,商訓夜中學,中學(夜間),資訊科技/行政,回歸教育,資訊科技/STEAM,私立,官方特刊/公報審核,經官方特刊比對確認
51,4,2017/2018,梁定剛,培正中學,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊特寫: 能成為一位幼兒教師就是我的驕傲,更正前誤植為中學化學。特刊確認為幼稚園男幼師及幼兒教育骨幹。
52,4,2017/2018,梁耀華,鏡平學校,中學,物理,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
53,4,2017/2018,陳冬冬,聖公會(澳門)蔡高中學,中學,中學地理 / 地質考察與天文,中學,地理,私立,官方特刊特寫: 中學地理、天文與地質野外考察,更正前誤植為小學中文。特刊確認為中學地理教師。
54,4,2017/2018,陳唯健,濠江中學,中學,中學體育,中學,體育,私立,官方特刊特寫: 10多年體育教學旅途...作為體育教師,更正前誤植為歷史。特刊確認為體育教師。
55,4,2017/2018,黃俏梅,教業中學,初中,初中語文 / 中文科組長,中學,語文/中文,私立,官方特刊特寫: 我帶領初中語文科教師對應基力要求,更正前誤植為幼小常識。特刊確認為初中語文科組長。
56,4,2017/2018,黃毅紅,聖保祿學校,中學,中文/教研,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
57,4,2017/2018,葉康成,鮑思高粵華小學,小學,小學體育 / 籃球教練,小學,體育,私立,官方特刊特寫: 籃球是我生命中最喜愛的運動...小學體育,更正前誤植為常識/資訊。特刊確認為小學體育及籃球教練。
58,4,2017/2018,樊燕玲,澳門坊眾學校,高中,高中歷史 / 高三級組長,中學,歷史,私立,官方特刊特寫: 任教高中歷史、高三級組長,更正前誤植為數學。特刊確認為高中歷史教師。
59,4,2017/2018,鍾慧玲,培正中學,小學,數學,小學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
60,4,2017/2018,鄺麗麗,新華夜中學,中學(夜間),歷史/中文,回歸教育,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
61,5,2018/2019,朱衞國,濠江中學,中學,物理,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
62,5,2018/2019,李瑩,教業中學,中學,中學英語 / 話劇 / 高三班主任,中學,英語,私立,官方特刊特寫: 英語教師、帶領英語話劇社、高三班主任,更正前誤植為地理。特刊確認為英語及話劇社指導。
63,5,2018/2019,張保輝,海暉學校,小學,體育,小學,體育,私立,官方特刊/公報審核,經官方特刊比對確認
64,5,2018/2019,張倩玲,明愛學校,特殊教育,特殊教育,中學,綜合/其他,私立,官方特刊/公報審核,經官方特刊比對確認
65,5,2018/2019,張燕,濠江中學附屬小學,小學,小學語文 / 語文科組長,小學,語文/中文,私立,官方特刊特寫: 小學語文教學25載、小學語文科組長,更正前誤植為中學數學。特刊確認為小學語文及科組長。
66,5,2018/2019,梁健華,培正中學,中小學,體育,小學,體育,私立,官方特刊/公報審核,經官方特刊比對確認
67,5,2018/2019,梁瑩瑩,培正中學,中小學,音樂/舞蹈,小學,藝術(視藝/音樂/舞蹈),私立,官方特刊/公報審核,經官方特刊比對確認
68,5,2018/2019,梁鑫,澳門工聯職業技術中學,中學,中學體育 / 籃球教練,中學,體育,私立,官方特刊特寫: 北京體育大學畢業、工聯職中籃球教練,更正前誤植為資訊科技。特刊確認為體育教師及籃球教練。
69,5,2018/2019,陳亭,濠江中學,中學,中學舞蹈 / 藝術教育,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 擔任舞蹈老師13年、學界舞蹈大賽金獎,更正前誤植為化學。特刊確認為舞蹈教師及藝術教育負責人。
70,5,2018/2019,陳偉民,聖公會(澳門)蔡高中學,中學,中學音樂,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 音樂可以改變生命...音樂老師,更正前誤植為中文。特刊確認為音樂科教師及合唱團指導。
71,5,2018/2019,陳嘉亮,教業中學,中學,資訊科技 / 電腦 / 機器人科普,中學,資訊科技/STEAM,私立,官方特刊特寫: 電腦及資訊科技科、機器人科普競賽導師,更正前誤植為數學。特刊確認為電腦及資訊科技教師。
72,5,2018/2019,閔好年,培正中學,中學,物理/科技,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
73,5,2018/2019,温素玲,商訓夜中學,中學(夜間),英文,回歸教育,英語,私立,官方特刊/公報審核,經官方特刊比對確認
74,5,2018/2019,黎鈞陶,菜農子弟學校,中學,中學地理,中學,地理,私立,官方特刊特寫: 我作為一名中學地理教師...讓澳門地理教育飛得更高,更正前誤植為中文。特刊確認為中學地理名師。
75,5,2018/2019,譚文濤,粵華中學,中學,資訊科技 / 機器人科普,中學,資訊科技/STEAM,私立,官方特刊特寫: 機器人隊教練、科普創客指導,更正前誤植為數學。特刊確認為資訊科技及機器人指導。
76,6,2019/2020,白樺,澳門坊眾學校,中學,物理,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
77,6,2019/2020,李業勤,廣大中學,中學,資訊科技/科普,中學,資訊科技/STEAM,私立,官方特刊/公報審核,經官方特刊比對確認
78,6,2019/2020,李鳳秋,氹仔坊眾學校,幼小,中文/常識,幼稚園,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
79,6,2019/2020,林炎龍,澳門大學附屬應用學校,中小學,體育,小學,體育,私立,官方特刊/公報審核,經官方特刊比對確認
80,6,2019/2020,邵敏,培正中學,中學,生物,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
81,6,2019/2020,韋建超,澳門坊眾學校,中學,數學,中學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
82,6,2019/2020,張慧敏,培正中學,中學,中學化學,中學,化學,私立,官方特刊特寫: 全面的化學教育、引領化學探究,更正前誤植為中文。特刊確認為中學化學名師。
83,6,2019/2020,陳勝輝,濠江中學,中學,歷史,中學,歷史,私立,官方特刊/公報審核,經官方特刊比對確認
84,6,2019/2020,麥芷琪,培正中學,中學,中文,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
85,6,2019/2020,馮燕微,庇道學校,中學/多元,英文,中學,英語,私立,官方特刊/公報審核,經官方特刊比對確認
86,6,2019/2020,楊逸,濠江中學,中學,地理,中學,地理,私立,官方特刊/公報審核,經官方特刊比對確認
87,6,2019/2020,葉绮麗,婦聯學校,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊/公報審核,經官方特刊比對確認
88,6,2019/2020,劉志豪,鏡平學校,中學,化學,中學,化學,私立,官方特刊/公報審核,經官方特刊比對確認
89,6,2019/2020,鄭健森,商訓夜中學,中學(夜間),物理/數學,回歸教育,數學,私立,官方特刊/公報審核,經官方特刊比對確認
90,6,2019/2020,謝建勳,聖公會(澳門)蔡高中學,中學,視覺藝術,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊/公報審核,經官方特刊比對確認
91,7,2020/2021,吳培域,廣大中學,中學,物理/科普,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
92,7,2020/2021,林啟興,鏡平學校,中學,物理/科技創新,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
93,7,2020/2021,林曉,菜農子弟學校,中學,化學,中學,化學,私立,官方特刊/公報審核,經官方特刊比對確認
94,7,2020/2021,周煉齊,濠江中學附屬英才學校,中學,物理/STEAM,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
95,7,2020/2021,周慧心,培正中學,中學,歷史/中文,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
96,7,2020/2021,姚建華,商訓夜中學,中學(夜間),地理/社會,回歸教育,地理,私立,官方特刊/公報審核,經官方特刊比對確認
97,7,2020/2021,袁國展,培正中學,中學,資訊科技/科普,中學,資訊科技/STEAM,私立,官方特刊/公報審核,經官方特刊比對確認
98,7,2020/2021,陳奇川,濠江中學,中學,數學,中學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
99,7,2020/2021,陳海文,粵華中學,中學,生物/科學,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
100,7,2020/2021,郭凱,濠江中學,小學,小學體育,小學,體育,私立,官方特刊/公報審核,經官方特刊比對確認
101,7,2020/2021,梁錦華,濠江中學,中學,中文,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
102,7,2020/2021,黃仲彬,聖公會(澳門)蔡高中學,中學,數學,中學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
103,7,2020/2021,黃綺棋,明愛學校,特殊教育,特殊教育,中學,綜合/其他,私立,官方特刊/公報審核,經官方特刊比對確認
104,7,2020/2021,楊美蓮,培華中學,中學,中文,中學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
105,7,2020/2021,黎麗霞,婦聯學校,小學,小學數學,小學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
106,8,2021/2022,王巧珍,商訓夜中學,中學(夜間),中文,回歸教育,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
107,8,2021/2022,方秀娟,培正中學,小學,小學中文,小學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
108,8,2021/2022,王祖顯,濠江中學,中學,資訊科技/科普,中學,資訊科技/STEAM,私立,官方特刊/公報審核,經官方特刊比對確認
109,8,2021/2022,何裕浩,廣大中學,中學,生物/理化生,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
110,8,2021/2022,李嫻好,菜農子弟學校,小學,小學數學,小學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
111,8,2021/2022,林綺蓮,澳門浸信中學,中學,化學,中學,化學,私立,官方特刊/公報審核,經官方特刊比對確認
112,8,2021/2022,孫衍軍,濠江中學附屬英才學校,中學,數學,中學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
113,8,2021/2022,翁擁華,教業中學,中學,化學,中學,化學,私立,官方特刊/公報審核,經官方特刊比對確認
114,8,2021/2022,張清宇,聖公會(澳門)蔡高中學,中學,物理,中學,物理,私立,官方特刊/公報審核,經官方特刊比對確認
115,8,2021/2022,張曉萍,鏡平學校,小學,小學數學,小學,數學,私立,官方特刊/公報審核,經官方特刊比對確認
116,8,2021/2022,梁時輝,聖公會(澳門)蔡高中學,中學,歷史/社會,中學,歷史,私立,官方特刊/公報審核,經官方特刊比對確認
117,8,2021/2022,莫秀君,濠江中學附屬英才學校,小學,小學英語,小學,語文/中文,私立,官方特刊/公報審核,經官方特刊比對確認
118,8,2021/2022,黃慧儀,培正中學,小學,小學常識/科學,小學,綜合/其他,私立,官方特刊/公報審核,經官方特刊比對確認
119,8,2021/2022,趙正輝,勞校中學,中學,化學,中學,化學,私立,官方特刊/公報審核,經官方特刊比對確認
120,8,2021/2022,鮑家欣,培華中學,小學/中學,音樂/藝術,小學,藝術(視藝/音樂/舞蹈),私立,官方特刊/公報審核,經官方特刊比對確認
121,9,2022/2023,王森,粵華中學,中學,中學歷史,中學,歷史,私立,官方特刊特寫: 作為一名歷史科教師...打開更廣闊的歷史之門,更正前誤植為數學。特刊確認為中學歷史教師。
122,9,2022/2023,伍冠強,濠江中學,中學,中學英語,中學,英語,私立,官方特刊特寫: 讓學生愛英文、欣賞英文和運用英文...英文堂線上資源,更正前誤植為體育。特刊確認為中學英語教師。
123,9,2022/2023,杜正玲,濠江中學附屬英才學校,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊特寫: 從教30多年...幼兒教育理念...幼兒園階段基礎期...我愛幼教,更正前誤植為中學地理。特刊確認為英才學校幼稚園資深幼師。
124,9,2022/2023,李春,培華中學,中學,中學物理 / 科技創新與科普,中學,物理,私立,教青局及培華校史: 物理青年教師教學大賽高中組一等獎，無線電測向與科普,特刊及教青局大賽確認為中學物理及科普指導。
125,9,2022/2023,林凱欣,澳門坊眾學校,幼稚園,幼兒教育,幼稚園,幼兒綜合,私立,官方特刊特寫: 作為一名優秀的幼稚園教師...作為一名幼稚園教師，我願當一塊基石,更正前誤植為中學地理。特刊確認為幼稚園幼師。
126,9,2022/2023,林嘉雯,聖公會(澳門)蔡高中學,中學,中學音樂,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 學習鋼琴...讓學生在音樂中抒發...在音樂遇到更好的自己,更正前誤植為中學英文。特刊確認為音樂科教師。
127,9,2022/2023,施虹冰,培正中學,小學,小學中文 / 內師與課程先導,小學,語文/中文,私立,教育部公派內師/培正小學部: 駐校內師，小學語文課程先導與作文指導,更正前誤植為中學中文及誤寫為施虹莉。官方證實為施虹冰，小學語文教師。
128,9,2022/2023,姚曉暉,培正中學,中學,中學生物 / 科研指導 / ISEF教練,中學,生物/科學,私立,教青局及培正生物組: 任教生物科約20年，戶外野外考察，國際科學與工程大獎賽(ISEF)代表隊教練,更正前誤植為化學。官方確認為中學生物科及ISEF頂尖科研指導教練。
129,9,2022/2023,區偉志,濠江中學,中學,中學物理 / 高三班主任,中學,物理,私立,官方特刊特寫: 物理師範專業...一名物理老師，教給學生物理知識...高三班主任,更正前誤植為化學。特刊確認為中學物理教師及高三班主任。
130,9,2022/2023,游江南,澳門中華總商會附設商訓學校,中學(夜間),中學歷史與語文 / 回歸教育,回歸教育,歷史,私立,官方特刊特寫: 43年教齡、商訓夜校資深教師,商訓夜校資深歷史與語文教師，成人回歸教育代表。
131,9,2022/2023,黃國威,澳門坊眾學校,中學,中學歷史,中學,歷史,私立,官方特刊特寫: 作為一名歷史教師，我堅信歷史是我們民族應有的共同記憶,特刊確認為中學歷史科教師。
132,9,2022/2023,黃晶晶,澳門浸信中學,小學,小學部主任 / 課程發展與教研改革,小學,小學全科/班主任,私立,官方特刊特寫及浸信小學部: 小學部主任，課堂教學革新，普教中推廣,更正前誤植為中學數學。官方確認為小學部主任兼教研改革主管。
133,9,2022/2023,萬麗芬,聖保祿學校,小學,小學中文 / 班主任,小學,語文/中文,私立,官方特刊特寫: 從事教育滿20年，小學中文及班級經營,聖保祿小學中文教師及班主任。
134,9,2022/2023,劉貳和,勞校中學,中學,中學視覺藝術 / 藝術學博士 / 美育校本課程,中學,藝術(視藝/音樂/舞蹈),私立,官方特刊特寫: 仰望星空，為藝術戰！從事藝術教育已十三年，科技與藝術融合，修讀藝術學博士,更正前誤植為數學。特刊確認為視覺藝術/美育教師。
135,9,2022/2023,蔡鏢,鏡平學校,中學,資訊科技 / STREAM創新與信息學奧賽(IOI),中學,資訊科技/STEAM,私立,鏡平科技科組及教青局: 資訊科技教師，STREAM教育創新，指導IOI信息奧賽奪牌,更正前誤植為物理/科普。官方確認為資訊科技科名師及IOI教練。
136,10,2023/2024,王坤,澳門浸信中學,中學,中學體育 / 馬拉松與田徑長跑,中學,體育,私立,官方特刊特寫: 教育是場馬拉松...推進體育人才的培養,澳門著名長跑運動員，浸信中學體育教師及田徑隊教練。
137,10,2023/2024,方艷嫦,澳門坊眾學校,中學,中學中文 / 閱讀素養,中學,語文/中文,私立,官方特刊特寫: 沉浸於學生閱讀素養培養的研究中，推行多元改革,中學語文教師，閱讀素養教改。
138,10,2023/2024,伍子雋,教業中學,中學,資訊科技 / 科創 / STEAM / AI時代思維,中學,資訊科技/STEAM,私立,官方特刊特寫: 在科創教育中...在AI時代...跨學科整合能力,教業中學科創及資訊科技骨幹。
139,10,2023/2024,李凱,濠江中學,中學,中學數學 / 高三班主任,中學,數學,私立,官方特刊特寫: 2001年執教至今20餘載，高中數學及班主任,中學數學名師及資深高三班主任。
140,10,2023/2024,林秀蘭,培正中學,中學,中學數學 / 編程與算法數學融合,中學,數學,私立,官方特刊特寫: 在教學中，我把編程知識與數學相結合，算法邏輯邂逅數學之美,更正前誤植為物理/科普。特刊確認為數學與編程算法融合教學。
141,10,2023/2024,林俊猛,廣大中學,中學,中學物理 / 創科與STEM / 猛班班主任,中學,物理,私立,官方特刊特寫及廣大物理組: 物理科教師、全國青少年科技輔導員、猛班精神,更正前誤植為化學。官方確認為中學物理科教師及創科競賽教練。
142,10,2023/2024,梁沛津,培正中學,中學,中學物理 / 理論物理科普創新,中學,物理,私立,官方特刊特寫: 從理論物理研究到重返母校執教...物理學家愛因斯坦說過,更正前誤植為歷史/文史。特刊確認為理論物理背景之物理及科普教師。
143,10,2023/2024,梁笑銀,澳門中華總商會附設商訓學校,中學(夜間),中學(夜校) 中文與全人教育 / 校友會秘書長,回歸教育,語文/中文,私立,官方特刊特寫: 商訓夜校從教21年，母校濠江與商訓夜校教誨,商訓夜校資深教師，推動成人回歸教育與融合支援。
144,10,2023/2024,郭桂豪,勞校中學,中學,中學歷史 / 歷史文化講好中國故事,中學,歷史,私立,官方特刊特寫: 我作為中學的歷史老師，手執粉筆...歷史是一條長長的路,更正前誤植為物理/科普。特刊確認為中學歷史科教師。
145,10,2023/2024,陳建泰,菜農子弟學校,中學,中學數學 / 奧數與數學競賽指導,中學,數學,私立,官方特刊特寫及菜農數學組: 中學數學教師，澳門學界數學賽及港澳奧數指導,更正前誤植為小學數學/常識。官方確認為中學數學科教師及競賽指導。
146,10,2023/2024,張嘉玲,勞校中學,幼稚園,幼兒教育 / 多元智能與家園共育,幼稚園,幼兒綜合,私立,官方特刊特寫: 在幼兒教育階段...遵循幼兒身心發展規律...家園共育為核心,更正前誤植為小學中文。特刊確認為幼稚園幼兒教育骨幹。
147,10,2023/2024,彭超,濠江中學,中學,中學歷史 / 為天地立心,中學,歷史,私立,官方特刊特寫: 還能記得當初歷史課堂上的“為天地立心，為生民立命”的格言,更正前誤植為中文/辯論/戲劇。特刊確認為中學歷史教師。
148,10,2023/2024,曾嘉美,聖公會(澳門)蔡高中學,小學,小學中文 / 語文教學與朗誦指導,小學,語文/中文,私立,官方特刊特寫及蔡高小學部: 從幼教、夜校到小學部，語文教學設計獎勵計劃多次獲獎,更正前誤植為小學數學。官方確認任教小學中文科。
149,10,2023/2024,蔡蓉蓉,教業中學,小學,小學中文 / 閱讀寫作微光引領,小學,語文/中文,私立,官方特刊特寫及教業小學部: 教業小學部語文教師，作文指導及多維度教學,更正前誤植為中學英文。官方確認為小學部中文教師。
150,10,2023/2024,鍾子程,培正中學,中學,中學歷史 / 歷史文化研究與電子教學,中學,歷史,私立,官方特刊特寫及培正文史組: 任教培正歷史科逾25載，《百年傳承》副主編，歷史公開示範課,更正前誤植為視覺藝術/文創。官方確認為資深中學歷史科教師。
